"file","tag","rep","n_genes","n_cells","density","containment_all","containment_excl_deg0","n_deg0","n_sig_total","max_z"
"MSvC_Control_rep01.rds","MSvC_Control",1,797,451,88,99.75,100,2,927,17.48
"MSvC_Control_rep02.rds","MSvC_Control",2,798,435,84.4,99.87,100,1,953,8.64
"MSvC_Control_rep03.rds","MSvC_Control",3,797,445,86,99.5,100,4,920,27.37
"MSvC_MS_rep01.rds","MSvC_MS",1,800,842,81.1,99.38,100,5,829,4.64
"MSvC_MS_rep02.rds","MSvC_MS",2,800,848,79,99.25,100,6,877,6.97
"MSvC_MS_rep03.rds","MSvC_MS",3,800,861,81,99,100,8,973,6.34
