"ko","outdegree","n_sig","all_inside","frac_targets_sig","network","col"
"USP15",726,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"USP34",745,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"USP53",711,2,TRUE,0.00140646976090014,"MS microglia, control net","#1f6fb4"
"USP6NL",756,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"UST",744,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"UTRN",744,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"UTY",779,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"UVRAG",772,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"VMP1",712,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"VOPP1",617,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"VPS13B",330,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"VPS13C",754,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"VPS8",711,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"VTI1A",697,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"WAC",744,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"WASF2",736,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"WASHC4",473,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"WDFY2",488,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"WDFY3",776,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"WDFY4",587,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"WDR7",674,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"WDR70",742,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"WIPF1",728,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"WNK1",754,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"WSB1",769,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"WWOX",731,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"XACT",743,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"XIST",783,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"XPR1",645,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"XYLT1",769,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"YKT6",216,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ZBTB16",767,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ZBTB20",783,2,TRUE,0.00127713920817369,"MS microglia, control net","#1f6fb4"
"ZCCHC7",719,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ZDHHC14",672,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ZEB1",714,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ZEB2",786,2,TRUE,0.00127226463104326,"MS microglia, control net","#1f6fb4"
"ZFAND3",682,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ZFHX3",754,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ZFP36L1",784,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ZFP36L2",784,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ZFPM2-AS1",771,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ZMAT3",742,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ZMYM2",695,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ZNF148",637,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ZNF292",702,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ZNF407",388,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ZNF609",766,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ZNF638",785,2,TRUE,0.00127388535031847,"MS microglia, control net","#1f6fb4"
"ZNF644",724,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ZNF710",707,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ZNF804A",714,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ZSWIM6",784,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"A2M",740,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"AAK1",621,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ABCA1",767,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ABCC4",767,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ABI1",644,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ABR",759,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"AC007262.2",653,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"AC087564.1",699,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"AC131944.1",747,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ACAP2",691,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ACER3",754,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ACSL1",773,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ACSL4",724,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ACTA2",0,7,FALSE,NA,"MS microglia, lesion net","#c0392b"
"ACTB",634,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ACYP2",602,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ADAM10",532,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ADAM28",768,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ADAMTS17",744,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ADGRB3",770,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ADK",705,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"AFF1",688,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"AKAP13",741,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"AKT3",744,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"AL035446.2",745,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"AL163541.1",771,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"AL392172.2",767,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ALCAM",663,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ALDH1A2",718,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ALPK1",638,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ANK2",232,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ANKRD11",745,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ANKRD12",628,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ANKRD17",492,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ANKRD44",775,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ANKS1A",657,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ANOS1",700,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"AOAH",733,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"AP001977.1",707,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"AP3B1",406,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"APBA1",698,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"APBB1IP",770,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"APOE",756,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ARHGAP12",712,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ARHGAP15",747,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ARHGAP18",655,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ARHGAP21",723,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ARHGAP22",767,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ARHGAP24",762,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ARHGAP25",695,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ARHGAP26",758,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ARHGAP6",637,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ARID1A",276,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ARID1B",589,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ARID2",45,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ARID4B",510,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ARID5B",566,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ARIH1",484,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ARL15",619,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ASAH1",766,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ASAP1",769,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ASCC3",419,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ASH1L",620,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ASTN2",756,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ATF6",708,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ATF7IP",709,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ATG7",768,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ATM",678,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ATP1B3",747,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ATP2C1",750,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ATP8B4",746,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ATRX",245,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ATXN1",610,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"AUTS2",761,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"B2M",752,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"BABAM2",700,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"BACH1",696,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"BASP1",759,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"BAZ2B",703,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"BBS9",134,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"BBX",601,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"BCAS3",397,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"BCL2",517,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"BHLHE41",741,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"BIN1",727,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"BIRC6",604,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"BLNK",749,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"BMP2K",751,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"BMPR2",55,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"BNC2",741,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"BPTF",89,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"BRAF",294,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"BRWD1",386,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"BTBD9",519,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"BTK",584,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"C1QA",650,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"C1QB",616,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"C20orf194",763,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"C3",758,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CAB39",622,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CACNA1A",766,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CACNA1D",666,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CADM1",748,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CAMK1D",652,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CAMK2D",557,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CAMKMT",522,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CAPZB",728,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CCDC18-AS1",704,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CCDC26",489,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CCDC88A",471,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CCDC91",677,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CCND3",759,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CCNH",752,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CCNY",1,2,TRUE,1,"MS microglia, lesion net","#c0392b"
"CD163",757,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CD33",75,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CD74",757,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CD86",679,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CDK13",417,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CDK14",742,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CDK19",213,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CDK6",732,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CDKAL1",395,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CELF1",587,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CELF2",753,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CEP170",482,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CEP350",521,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CERT1",759,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CFLAR",512,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CHD1",753,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CHD2",149,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CHD7",561,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CHD9",726,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CHST11",760,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CHST15",757,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CHSY1",763,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CHSY3",665,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CIITA",707,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CLASP1",646,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CLASP2",723,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CMIP",746,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CMSS1",451,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CNOT2",619,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"COG5",117,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"COMMD10",417,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"COP1",535,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CPEB3",363,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CPEB4",675,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CPED1",741,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CPM",772,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CPQ",717,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CPVL",715,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CR1",746,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CRADD",230,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CSF1R",735,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CSF2RA",648,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CSGALNACT1",772,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CSNK1A1",609,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CTBP2",490,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CTNNB1",731,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CTNND1",599,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CTSB",753,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CTSD",752,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CTTNBP2",762,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CUX1",739,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CX3CR1",753,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CYBB",725,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CYFIP1",766,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"CYTH1",743,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"DCAF6",601,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"DDX17",735,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"DDX5",651,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"DENND1A",634,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"DENND3",777,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"DENND4A",367,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"DENND4C",769,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"DIAPH2",732,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"DIP2B",694,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"DIRC3",730,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"DISC1",741,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"DISP1",603,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"DLEU1",731,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"DLEU2",559,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"DLG1",630,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"DLG2",675,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"DMXL2",759,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"DOCK10",727,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"DOCK11",452,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"DOCK2",648,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"DOCK4",764,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"DOCK5",676,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"DOCK8",750,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"DPYD",716,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"DSCAM",759,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"DST",753,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"DTNA",743,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"DTNB",733,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"DYM",183,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"DYRK1A",591,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"EDA",713,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"EEF1A1",755,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"EIF4G3",650,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ELF1",561,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ELF2",753,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ELL2",767,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ELMO1",767,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"EML4",742,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ENTPD1",652,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"EPB41L2",763,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"EPB41L3",766,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"EPS15",687,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"EPS8",709,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"EPSTI1",753,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ERBIN",726,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ERC1",523,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ERC2",762,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"ETV6",751,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"EVI5",594,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"EVL",744,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"EXOC4",521,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"EXOC6B",598,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"F13A1",702,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"FAF1",0,7,FALSE,NA,"MS microglia, lesion net","#c0392b"
"FAM110B",761,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"FAM135A",656,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"FAM135B",717,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"FAM13A",708,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"FAM149A",746,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"FAM168A",608,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"FAM172A",560,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"FAM49A",764,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"FAM49B",730,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"FAR2",569,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"FARP1",765,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"FARS2",405,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"FBXL17",539,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"FBXO11",81,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"FBXW7",390,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"FCGBP",660,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"FCHO2",760,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"FCHSD2",426,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"FER",742,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"FGD4",744,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"FHIT",140,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"FKBP5",768,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"FLI1",445,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"FMN1",758,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"FMNL2",767,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"FMNL3",729,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"FNDC3A",764,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"FNDC3B",775,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"FNIP1",729,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"FNIP2",772,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"FOXN3",753,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"FOXO3",720,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"FOXP1",740,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"FOXP2",740,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"FRMD4A",767,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"FRMD4B",763,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"FRYL",643,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"FTH1",757,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"FTL",767,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"FTO",397,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"FTX",735,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"FYB1",728,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"GAB1",763,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"GAB2",631,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"GALNT10",670,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"GALNT2",742,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"GALNTL6",761,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"GAS7",752,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"GK",753,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"GLDN",733,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"GLS",704,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"GMDS",343,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"GMDS-DT",22,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"GNA13",761,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"GNAQ",477,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"GNB1",696,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"GNB4",647,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"GNG7",729,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"GOLGA4",684,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"GPD2",677,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"GPHN",3,4,TRUE,1,"MS microglia, lesion net","#c0392b"
"GPNMB",782,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"GPRIN3",628,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"GRAMD1B",629,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"GRB2",754,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"GRID2",772,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"GRK3",695,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"GSAP",731,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"GSK3B",656,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"GSN",680,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"GTDC1",537,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"H2AFY",748,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"HCLS1",676,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"HDAC8",575,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"HDAC9",765,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"HELZ",629,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"HERC1",658,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"HERC4",605,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"HIF1A",757,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"HIST1H2AC",650,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"HIVEP3",755,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"HLA-DRA",752,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"HLA-DRB1",743,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"HNRNPA2B1",670,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"HNRNPC",261,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"HNRNPU",666,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"HS3ST4",747,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"HSP90AA1",643,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"IFI16",481,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"IFI44L",775,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"IFNGR1",745,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"IFNGR2",719,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"IGF1R",693,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"IGSF21",765,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"IKZF1",721,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"IL10RA",713,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"IL13RA1",739,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"IL6ST",756,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"IMMP2L",645,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"INPP4A",734,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"INPP5D",753,1,TRUE,0,"MS microglia, lesion net","#c0392b"
"IPCEF1",770,1,TRUE,0,"MS microglia, lesion net","#c0392b"
