"ko","outdegree","n_sig","all_inside","frac_targets_sig","network","col"
"BIN1",788,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"BIRC6",600,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"BLNK",688,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"BMP2K",762,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"BMPR2",650,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"BNC2",608,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"BPTF",755,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"BRAF",682,2,TRUE,0.00146627565982405,"MS microglia, control net","#1f6fb4"
"BRWD1",718,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"BTBD9",744,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"BTK",197,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"C1QA",784,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"C1QB",770,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"C20orf194",754,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"C3",787,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CAB39",725,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CACNA1A",760,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CACNA1D",768,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CADM1",775,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CAMK1D",759,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CAMK2D",496,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CAMKMT",389,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CAPZB",565,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CCDC18-AS1",705,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CCDC26",693,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CCDC88A",786,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CCDC91",725,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CCND3",775,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CCNH",775,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CCNY",736,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CD163",776,2,TRUE,0.00128865979381443,"MS microglia, control net","#1f6fb4"
"CD33",146,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CD74",771,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CD86",761,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CDK13",738,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"CDK14",725,1,TRUE,0,"MS microglia, control net","#1f6fb4"
