"replicate","n_genes","network_rho","n_p05","n_fdr05","min_padj","top_gene"
1,797,0.27,49,0,0.15,"ADGRB3"
2,798,0.265,46,0,0.0852,"ADGRB3"
3,797,0.258,48,0,0.0714,"MAN2A1"
